Plants,Firm,Zone,Type,Fuel ,StYr,ReYr,Capacity,Status,HeatRate,FOM,VOM,RampUpRate,RampDownRate,VRE
EasternCape_HY_ZAF,Fringe,South_Africa,ROR,Water,1985,2050,42,0,,46500,0.55,1,1,0
DrakensbergPH_HY_ZAF,Fringe,South_Africa,STORAGE,Water,1985,2050,1000,0,,20200,0.58,1,1,0
Gariep_HY_ZAF,Fringe,South_Africa,ROR,Water,1971,2050,360,0,,46500,0.55,1,1,0
Ingula_HY_ZAF,Fringe,South_Africa,STORAGE,Water,2017,2050,1324,0,,20200,0.58,1,1,0
Neusberg_HY_ZAF,Fringe,South_Africa,ROR,Water,2014,2050,12.57,0,,46500,0.55,1,1,0
PalmietPH_HY_ZAF,Fringe,South_Africa,STORAGE,Water,1988,2050,400,0,,20200,0.58,1,1,0
SreenbrasPH_HY_ZAF,Fringe,South_Africa,STORAGE,Water,1979,2050,180,0,,20200,0.58,1,1,0
Vanderkloof_HY_ZAF,Fringe,South_Africa,ROR,Water,1976,2050,240,0,,46500,0.55,1,1,0
Acacia_TH_ZAF,Fringe,South_Africa,GT,FuelOil,1976,2026,171,0,11.26101378,26000,6.4,1,1,0
Ankerlig(Atlantis)_TH_ZAF,Fringe,South_Africa,GT,FuelOil,2007,2057,1327,0,9.39286647,26000,6.4,1,1,0
Avon_TH_ZAF,Fringe,South_Africa,GT,FuelOil,2016,2066,670,0,13.62107811,26000,6.4,1,1,0
Dedisa_TH_ZAF,Fringe,South_Africa,GT,FuelOil,2015,2065,335,0,13.62107811,26000,6.4,1,1,0
Gourikwa_TH_ZAF,Fringe,South_Africa,GT,FuelOil,2007,2057,740,0,9.39286647,26000,6.4,1,1,0
PortRexGas_TH_ZAF,Fringe,South_Africa,GT,FuelOil,1976,2026,171,0,11.26101378,26000,6.4,1,1,0
Sasolburg_TH_ZAF,Fringe,South_Africa,GT,Gas,2012,2052,174.6,0,9.990938997,26000,5,1,1,0
Secunda(SasolSynthetic)_TH_ZAF,Fringe,South_Africa,CCGT,Gas,2010,2050,280,0,11.49796803,34000,2.04,1,1,0
Arnot1_TH_ZAF,Eskom,South_Africa,ST,Coal,1972,2030,350,0,14.7,86000,0.13,0.33,0.33,0
Arnot2_TH_ZAF,Eskom,South_Africa,ST,Coal,1971,2030,350,0,14.75,86000,0.13,0.33,0.33,0
Arnot3_TH_ZAF,Eskom,South_Africa,ST,Coal,1971,2030,350,0,14.75,86000,0.13,0.33,0.33,0
Arnot4_TH_ZAF,Eskom,South_Africa,ST,Coal,1973,2030,350,0,14.65,86000,0.13,0.33,0.33,0
Arnot5_TH_ZAF,Eskom,South_Africa,ST,Coal,1974,2030,350,0,14.6,86000,0.13,0.33,0.33,0
Arnot6_TH_ZAF,Eskom,South_Africa,ST,Coal,1975,2030,350,0,14.55,86000,0.13,0.33,0.33,0
Athlone_RP_NG_ZAF,Fringe,South_Africa,GT,Gas,2021,2061,36,0,10,26000,5,1,1,0
Roggebaai_NG_ZAF,Fringe,South_Africa,GT,Gas,2018,2058,40,0,10,26000,5,1,1,0
Bloemfontein_TH_ZAF,Fringe,South_Africa,ST,Coal,1965,2015,103,0,14.10657267,86000,0.13,0.33,0.33,0
Camden1_TH_ZAF,Eskom,South_Africa,ST,Coal,1968,2030,189.7501602,0,13.21557163,86000,0.13,0.33,0.33,0
Camden2_TH_ZAF,Eskom,South_Africa,ST,Coal,1967,2030,189.7501602,0,13.21557163,86000,0.13,0.33,0.33,0
Camden3_TH_ZAF,Eskom,South_Africa,ST,Coal,1967,2030,189.7501602,0,13.21557163,86000,0.13,0.33,0.33,0
Camden4_TH_ZAF,Eskom,South_Africa,ST,Coal,1967,2030,185.0064061,0,13.21557163,86000,0.13,0.33,0.33,0
Camden5_TH_ZAF,Eskom,South_Africa,ST,Coal,1967,2030,185.0064061,0,13.21557163,86000,0.13,0.33,0.33,0
Camden6_TH_ZAF,Eskom,South_Africa,ST,Coal,1968,2030,180.2626521,0,13.21557163,86000,0.13,0.33,0.33,0
Camden7_TH_ZAF,Eskom,South_Africa,ST,Coal,1969,2030,175.5188981,0,13.21557163,86000,0.13,0.33,0.33,0
Camden8_TH_ZAF,Eskom,South_Africa,ST,Coal,1969,2030,189.7501602,0,13.21557163,86000,0.13,0.33,0.33,0
Duvha1_TH_ZAF,Eskom,South_Africa,ST,Coal,1980,2030,575,0,13.3,86000,0.13,0.33,0.33,0
Duvha2_TH_ZAF,Eskom,South_Africa,ST,Coal,1980,2030,575,0,13.3,86000,0.13,0.33,0.33,0
Duvha3_TH_ZAF,Eskom,South_Africa,ST,Coal,1981,2011,575,0,13.25,86000,0.13,0.33,0.33,0
Duvha4_TH_ZAF,Eskom,South_Africa,ST,Coal,1982,2032,575,0,13.2,86000,0.13,0.33,0.33,0
Duvha5_TH_ZAF,Eskom,South_Africa,ST,Coal,1983,2033,575,0,13.15,86000,0.13,0.33,0.33,0
Duvha6_TH_ZAF,Eskom,South_Africa,ST,Coal,1984,2034,575,0,13.1,86000,0.13,0.33,0.33,0
Grootvlei1_TH_ZAF,Eskom,South_Africa,ST,Coal,1973,2030,200,0,14.65,86000,0.13,0.33,0.33,0
Grootvlei2_TH_ZAF,Eskom,South_Africa,ST,Coal,1970,2030,200,0,14.8,86000,0.13,0.33,0.33,0
Grootvlei3_TH_ZAF,Eskom,South_Africa,ST,Coal,1969,2027,200,0,14.85,86000,0.13,0.33,0.33,0
Grootvlei4_TH_ZAF,Eskom,South_Africa,ST,Coal,1969,2027,200,0,14.85,86000,0.13,0.33,0.33,0
Grootvlei5_TH_ZAF,Eskom,South_Africa,ST,Coal,1971,2027,190,0,14.75,86000,0.13,0.33,0.33,0
Grootvlei6_TH_ZAF,Eskom,South_Africa,ST,Coal,1977,2030,190,0,14.45,86000,0.13,0.33,0.33,0
Hendrina1_TH_ZAF,Eskom,South_Africa,ST,Coal,1972,2030,200,0,14.7,86000,0.13,0.33,0.33,0
Hendrina2_TH_ZAF,Eskom,South_Africa,ST,Coal,1971,2030,200,0,14.75,86000,0.13,0.33,0.33,0
Hendrina3_TH_ZAF,Eskom,South_Africa,ST,Coal,1970,2030,200,0,14.8,86000,0.13,0.33,0.33,0
Hendrina4_TH_ZAF,Eskom,South_Africa,ST,Coal,1970,2030,200,0,14.8,86000,0.13,0.33,0.33,0
Hendrina5_TH_ZAF,Eskom,South_Africa,ST,Coal,1971,2030,200,0,14.75,86000,0.13,0.33,0.33,0
Hendrina6_TH_ZAF,Eskom,South_Africa,ST,Coal,1973,2030,195,0,14.65,86000,0.13,0.33,0.33,0
Hendrina7_TH_ZAF,Eskom,South_Africa,ST,Coal,1974,2030,191,0,14.6,86000,0.13,0.33,0.33,0
Hendrina8_TH_ZAF,Eskom,South_Africa,ST,Coal,1975,2030,170,0,14.55,86000,0.13,0.33,0.33,0
Hendrina9_TH_ZAF,Eskom,South_Africa,ST,Coal,1976,2030,167,0,14.5,86000,0.13,0.33,0.33,0
Hendrina10_TH_ZAF,Eskom,South_Africa,ST,Coal,1977,2030,200,0,14.45,86000,0.13,0.33,0.33,0
KelvinA_TH_ZAF,Fringe,South_Africa,ST,Coal,1957,2012,180,0,14.82112056,86000,0.13,0.33,0.33,0
KelvinB_TH_ZAF,Fringe,South_Africa,ST,Coal,1964,2026,420,0,14.32541227,86000,0.13,0.33,0.33,0
Kendal1_TH_ZAF,Eskom,South_Africa,ST,Coal,1988,2038,640,0,12.8,86000,0.13,0.33,0.33,0
Kendal2_TH_ZAF,Eskom,South_Africa,ST,Coal,1989,2039,640,0,12.75,86000,0.13,0.33,0.33,0
Kendal3_TH_ZAF,Eskom,South_Africa,ST,Coal,1990,2040,640,0,12.65,86000,0.13,0.33,0.33,0
Kendal4_TH_ZAF,Eskom,South_Africa,ST,Coal,1991,2041,640,0,12.6,86000,0.13,0.33,0.33,0
Kendal5_TH_ZAF,Eskom,South_Africa,ST,Coal,1992,2042,640,0,12.55,86000,0.13,0.33,0.33,0
