zone,year,season,day,t,value
South_Africa,2025,Q1,d1,t1,0.028
South_Africa,2025,Q1,d1,t2,0.027
South_Africa,2025,Q1,d1,t3,0.028
South_Africa,2025,Q1,d1,t4,0.029
South_Africa,2025,Q1,d1,t5,0.029
South_Africa,2025,Q1,d1,t6,0.028
South_Africa,2025,Q1,d1,t7,0.025
South_Africa,2025,Q1,d1,t8,0.021
South_Africa,2025,Q1,d1,t9,0.021
South_Africa,2025,Q1,d1,t10,0.018
South_Africa,2025,Q1,d1,t11,0.018
South_Africa,2025,Q1,d1,t12,0.018
South_Africa,2025,Q1,d1,t13,0.018
South_Africa,2025,Q1,d1,t14,0.018
South_Africa,2025,Q1,d1,t15,0.019
South_Africa,2025,Q1,d1,t16,0.019
South_Africa,2025,Q1,d1,t17,0.018
South_Africa,2025,Q1,d1,t18,0.018
South_Africa,2025,Q1,d1,t19,0.020
South_Africa,2025,Q1,d1,t20,0.021
South_Africa,2025,Q1,d1,t21,0.022
South_Africa,2025,Q1,d1,t22,0.023
South_Africa,2025,Q1,d1,t23,0.025
South_Africa,2025,Q1,d1,t24,0.028
South_Africa,2025,Q1,d2,t1,0.029
South_Africa,2025,Q1,d2,t2,0.027
South_Africa,2025,Q1,d2,t3,0.029
South_Africa,2025,Q1,d2,t4,0.029
South_Africa,2025,Q1,d2,t5,0.029
South_Africa,2025,Q1,d2,t6,0.029
South_Africa,2025,Q1,d2,t7,0.025
South_Africa,2025,Q1,d2,t8,0.022
South_Africa,2025,Q1,d2,t9,0.021
South_Africa,2025,Q1,d2,t10,0.020
South_Africa,2025,Q1,d2,t11,0.020
South_Africa,2025,Q1,d2,t12,0.019
South_Africa,2025,Q1,d2,t13,0.019
South_Africa,2025,Q1,d2,t14,0.020
South_Africa,2025,Q1,d2,t15,0.020
South_Africa,2025,Q1,d2,t16,0.020
South_Africa,2025,Q1,d2,t17,0.020
South_Africa,2025,Q1,d2,t18,0.020
South_Africa,2025,Q1,d2,t19,0.021
South_Africa,2025,Q1,d2,t20,0.022
South_Africa,2025,Q1,d2,t21,0.024
South_Africa,2025,Q1,d2,t22,0.024
South_Africa,2025,Q1,d2,t23,0.025
South_Africa,2025,Q1,d2,t24,0.029
South_Africa,2025,Q1,d3,t1,0.029
South_Africa,2025,Q1,d3,t2,0.029
South_Africa,2025,Q1,d3,t3,0.030
South_Africa,2025,Q1,d3,t4,0.030
South_Africa,2025,Q1,d3,t5,0.030
South_Africa,2025,Q1,d3,t6,0.030
South_Africa,2025,Q1,d3,t7,0.030
South_Africa,2025,Q1,d3,t8,0.027
South_Africa,2025,Q1,d3,t9,0.024
South_Africa,2025,Q1,d3,t10,0.021
South_Africa,2025,Q1,d3,t11,0.020
South_Africa,2025,Q1,d3,t12,0.020
South_Africa,2025,Q1,d3,t13,0.020
South_Africa,2025,Q1,d3,t14,0.021
South_Africa,2025,Q1,d3,t15,0.022
