Plants,Firm,Zone,StYr,RetrYr,Capacity,Type,Fuel,HeatRate,FOM,VOM,Status,RampUpRate,RampDownRate
ExistingHydro1985,,South_Africa,1985,2060,44.1,ROR,Water,,46500,0.55,Existing,1,1
DrakensbergPH,,South_Africa,1985,2060,1000,STORAGE,Water,,46500,0.55,Existing,1,1
Gariep,,South_Africa,1971,2060,360,ROR,Water,,46500,0.55,Existing,1,1
Ingula,,South_Africa,2017,2060,1324,STORAGE,Water,,46500,0.55,Existing,1,1
ExistingHydro2015,,South_Africa,2015,2060,19,ROR,Water,,46500,0.55,Existing,1,1
PalmietPH,,South_Africa,1988,2060,400,STORAGE,Water,,46500,0.55,Existing,1,1
SreenbrasPH,,South_Africa,1988,2060,180,STORAGE,Water,,46500,0.55,Existing,1,1
Vanderkloof,,South_Africa,1977,2060,240,ROR,Water,,46500,0.55,Existing,1,1
Acacia,,South_Africa,1976,2026,171,GT,FuelOil,11.26101378,17000,4,Existing,1,1
Ankerlig(Atlantis),,South_Africa,2007,2057,1327,GT,FuelOil,9.39286647,17000,4,Existing,1,1
Avon,,South_Africa,2015,2065,837.5,GT,FuelOil,13.62107811,17000,4,Existing,1,1
Dedisa,,South_Africa,2015,2065,335,GT,FuelOil,13.62107811,17000,4,Existing,1,1
Gourikwa,,South_Africa,2007,2057,740,GT,FuelOil,9.39286647,17000,4,Existing,1,1
PortRexGas,,South_Africa,1976,2026,171,GT,FuelOil,11.26101378,17000,4,Existing,1,1
Sasolburg,,South_Africa,2012,2062,174.6,GT,Gas,9.990938997,8000,6.4,Existing,1,1
Secunda(SasolSynthetic),,South_Africa,2010,2060,150,GT,Gas,11.49796803,17000,4,Existing,1,1
Arnot1,Eskom,South_Africa,1975,2027,1116,ST,Coal,9.584325504,45000,0.13,Existing,0.33,0.33
Athlone,,South_Africa,1962,2019,180,ST,Coal,10.10657267,45000,0.13,Existing,0.33,0.33
Bloemfontein,,South_Africa,1965,2015,103,ST,Coal,10.10657267,45000,0.13,Existing,0.33,0.33
Camden,Eskom,South_Africa,1967,2025,1481,ST,Coal,10.21557163,45000,0.13,Existing,0.33,0.33
Duvha,Eskom,South_Africa,1980,2033,2875,ST,Coal,9.074399958,45000,0.13,Existing,0.33,0.33
Grootvlei,Eskom,South_Africa,1969,2026,1120,ST,Coal,10.37101361,45000,0.13,Existing,0.33,0.33
Hendrina,Eskom,South_Africa,1976,2025,1638,ST,Coal,9.976721742,45000,0.13,Existing,0.33,0.33
KelvinA,,South_Africa,1957,2027,180,ST,Coal,12.82112056,45000,0.13,Existing,0.33,0.33
KelvinB,,South_Africa,1964,2027,420,ST,Coal,12.32541227,45000,0.13,Existing,0.33,0.33
Kendal,Eskom,South_Africa,1985,2042,3840,ST,Coal,9.665837766,45000,0.13,Existing,0.33,0.33
Khanyisa,,South_Africa,2021,2071,450,ST,Coal,9.749245662,45000,0.13,Existing,0.33,0.33
KomatiI,,South_Africa,1966,2020,500,ST,Coal,11.373804,45000,0.13,Existing,0.33,0.33
KomatiII,,South_Africa,1966,2020,500,ST,Coal,11.373804,45000,0.13,Existing,0.33,0.33
Kriel,Eskom,South_Africa,1979,2028,2850,ST,Coal,9.246902652,45000,0.13,Existing,0.33,0.33
Kusile_I,Eskom,South_Africa,2020,2070,3200,ST,Coal,9.0990432,45000,0.13,Existing,0.33,0.33
Lethabo,Eskom,South_Africa,1990,2038,3558,ST,Coal,9.027009108,45000,0.13,Existing,0.33,0.33
MajubaI,Eskom,South_Africa,1990,2051,1865.4,ST,Coal,9.665837766,45000,0.13,Existing,0.33,0.33
MajubaII,Eskom,South_Africa,1985,2051,2008.5,ST,Coal,9.050704533,45000,0.13,Existing,0.33,0.33
Matimba,Eskom,South_Africa,1987,2039,3690,ST,Coal,9.584325504,45000,0.13,Existing,0.33,0.33
Matla,Eskom,South_Africa,1979,2031,3450,ST,Coal,9.074399958,45000,0.13,Existing,0.33,0.33
Medupi,Eskom,South_Africa,2015,2065,4320,ST,Coal,9.0990432,45000,0.13,Existing,0.33,0.33
PretoriaWest,,South_Africa,1952,2019,180,ST,Coal,13.09693531,45000,0.13,Existing,0.33,0.33
Rooiwal,,South_Africa,1963,2019,300,ST,Coal,12.32541227,45000,0.13,Existing,0.33,0.33
Secunda(SasolChemical),,South_Africa,2010,2060,130,ST,Coal,12.08277112,45000,0.13,Existing,0.33,0.33
Tutuka,Eskom,South_Africa,1985,2030,3510,ST,Coal,8.979618258,45000,0.13,Existing,0.33,0.33
Koeberg_NU_ZAF,,South_Africa,1985,2045,1800,ST,Uranium,10.53119469,100000,2.3,Existing,0.1,0.1
SACSP,,South_Africa,2019,2059,200,CSP,CSP,,22000,3,Existing,1,1
SAGenericSolarPV(Large)22,,South_Africa,2022,2060,190,PV,PV,,15000,,Existing,1,1
SAGenericSolarPV(Medium)23,,South_Africa,2023,2060,190,PV,PV,,15000,,Existing,1,1
SAGenericWind21,,South_Africa,2021,2051,0,WIND,OnshoreWind,,22000,,Existing,1,1
SAGenericWind22,,South_Africa,2022,2052,647,WIND,OnshoreWind,,22000,,Existing,1,1
SAGenericWind23,,South_Africa,2023,2053,279,WIND,OnshoreWind,,22000,,Existing,1,1
ExistingWind,,South_Africa,2015,2045,2516,WIND,OnshoreWind,,22000,,Existing,1,1
ExistingSolarPV(PV),,South_Africa,2017,2060,1902,PV,PV,,15000,,Existing,1,1
ExistingCSP(CSP),,South_Africa,2005,2045,300,CSP,CSP,,22000,3,Existing,1,1
JohannesburgLandfillGas,,South_Africa,2000,2050,18,GT,Gas,,23000,5,Existing,0.33,0.33
MkuzeBiomass_BIO_ZAF,,South_Africa,2000,2055,16.5,ST,Biomass,,48000,3,Existing,0.33,0.33
NgodwanaEnergyProject_BIO_ZAF,,South_Africa,2000,2055,25,ST,Biomass,,48000,3,Existing,0.33,0.33
Arnot2,Eskom,South_Africa,1975,2028,1116,ST,Coal,,45000,0.13,Existing,0.33,0.33
Kusile_II,Eskom,South_Africa,2023,2073,800,ST,Coal,,45000,0.13,Existing,0.33,0.33
