,Q1,Q2,Q3,Q4
EasternCape_HY_ZAF,0.37,0.37,0.37,0.37
DrakensbergPH_HY_ZAF,0.85,0.85,0.85,0.85
Gariep_HY_ZAF,0.37,0.37,0.37,0.37
Ingula_HY_ZAF,0.85,0.85,0.85,0.85
Neusberg_HY_ZAF,0.6,0.6,0.6,0.6
PalmietPH_HY_ZAF,0.85,0.85,0.85,0.85
SreenbrasPH_HY_ZAF,0.85,0.85,0.85,0.85
Vanderkloof_HY_ZAF,0.37,0.37,0.37,0.37
Acacia_TH_ZAF,0.85,0.85,0.85,0.85
Ankerlig(Atlantis)_TH_ZAF,0.85,0.85,0.85,0.85
Avon_TH_ZAF,0.85,0.85,0.85,0.85
Dedisa_TH_ZAF,0.85,0.85,0.85,0.85
Gourikwa_TH_ZAF,0.85,0.85,0.85,0.85
PortRexGas_TH_ZAF,0.85,0.85,0.85,0.85
Sasolburg_TH_ZAF,0.85,0.85,0.85,0.85
Secunda(SasolSynthetic)_TH_ZAF,0.85,0.85,0.85,0.85
Arnot1_TH_ZAF,0.65,0.65,0.65,0.65
Arnot2_TH_ZAF,0.65,0.65,0.65,0.65
Arnot3_TH_ZAF,0.65,0.65,0.65,0.65
Arnot4_TH_ZAF,0.65,0.65,0.65,0.65
Arnot5_TH_ZAF,0.65,0.65,0.65,0.65
Arnot6_TH_ZAF,0.65,0.65,0.65,0.65
Athlone_RP_NG_ZAF,0.85,0.85,0.85,0.85
Roggebaai_NG_ZAF,0.85,0.85,0.85,0.85
Bloemfontein_TH_ZAF,0.65,0.65,0.65,0.65
Camden1_TH_ZAF,0.65,0.65,0.65,0.65
Camden2_TH_ZAF,0.65,0.65,0.65,0.65
Camden3_TH_ZAF,0.65,0.65,0.65,0.65
Camden4_TH_ZAF,0.65,0.65,0.65,0.65
Camden5_TH_ZAF,0.65,0.65,0.65,0.65
Camden6_TH_ZAF,0.65,0.65,0.65,0.65
Camden7_TH_ZAF,0.65,0.65,0.65,0.65
Camden8_TH_ZAF,0.65,0.65,0.65,0.65
Duvha1_TH_ZAF,0.65,0.65,0.65,0.65
Duvha2_TH_ZAF,0.65,0.65,0.65,0.65
Duvha3_TH_ZAF,0.65,0.65,0.65,0.65
Duvha4_TH_ZAF,0.65,0.65,0.65,0.65
Duvha5_TH_ZAF,0.65,0.65,0.65,0.65
Duvha6_TH_ZAF,0.65,0.65,0.65,0.65
Grootvlei1_TH_ZAF,0.65,0.65,0.65,0.65
Grootvlei2_TH_ZAF,0.65,0.65,0.65,0.65
Grootvlei3_TH_ZAF,0.65,0.65,0.65,0.65
Grootvlei4_TH_ZAF,0.65,0.65,0.65,0.65
Grootvlei5_TH_ZAF,0.65,0.65,0.65,0.65
