,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Gas,0,0,6.360827698,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4
LNG,0,0,6.360827698,8.888775641,8.86221013,8.835747064,8.809386049,8.783126692,8.756968599,8.730911381,8.704954649,8.679098015,8.653341094,8.557730201,8.463493271,8.370610559,8.279062605,8.188830228,8.099894523,8.012236855,7.92583886,7.840682435,7.756749738
Coal,,,4.524390666,3.38075141,3.06649002,5.201640971,4.989595561,4.786831625,4.592942904,4.407540919,4.230254195,4.060727518,3.898621221,3.743610507,3.595384792,3.45364709,3.318113413,3.188512203,3.064583789,2.946079867,2.832763,2.724406144,2.620792194
Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
FuelOil,,,8.242621808,11.99502238,11.95636922,11.91786512,11.87950951,11.8413018,11.80324144,11.76532785,11.72756048,11.68993874,11.65246209,11.51334701,11.37623106,11.24108552,11.10788207,10.9765928,10.8471902,10.71964717,10.59393698,10.47003328,10.34791013
Diesel,,,10.25592582,14.5480793,14.49971678,14.45154077,14.40355053,14.35574536,14.30812455,14.26068738,14.21343314,14.16636113,14.11947064,13.94541099,13.77385263,13.60475963,13.43809655,13.27382848,13.11192101,12.9523402,12.79505262,12.64002533,12.48722583
