EPM_Tech,Processing
GT,Gas Turbine
CCGT,Combined Cycle Gas Turbine
COAL,Coal Plant
STO HY,Storage hydro
WIND,Wind
PV,Solar PV
BIOGAS,Biogas
INT,Interconnection
CHP,Combined Heat & Power
ICE,Internal Combustion Engine
BIOMAS,Biomass
ROR,Run of river hydro
ST,Steam Turbine
CSP,Concentrated Solar Power
PVwSTO,Solar PV with Storage
STOPV,Storage For PV
STORAGE,Grid Connected Storage
