EPM_Fuel,Processing
FuelOil,Oil
HFO,Oil
LNG,Gas
Gas,Gas
Pumped-Hydro,Pumped-Hydro
H2,H2
Biomass,Biomass
Wind,Wind
OnshoreWind,Onshore Wind
OffshoreWind,Offshore Wind
PV,Solar
Imports,Trade
Water,Hydro
Battery,Battery Storage
Diesel,Oil diesel
HydroRoR,Hydro RoR
HydroStor,Hydro Storage
Battery,Battery
BESS4hr,Battery Storage 4h
BESS8hr,Battery Storage 8h
BESS_4h,Battery Storage 4h
BESS_8h,Battery Storage 8h
Import,Import
Coal,Coal
Uranium,Uranium
Geothermal,Geothermal
CSP,Concentrated Solar
